ret,vol
0.1083325769377485,0.13199072882559545
0.09113738818005002,0.14937726704743004
0.12138163113822142,0.14667728493003615
0.09926717889478485,0.11349078667832048
0.07938912590315558,0.12103362081217095
0.10642925274071792,0.11763060522328563
0.079866469725955,0.10707899553406545
0.11978254089915909,0.1335489563264982
0.023705147283895178,0.11432533810861498
0.10737812983669558,0.18602708071917864
0.09734731130582011,0.1316792776889356
0.05535371893783604,0.12273156598579889
0.09575702436657693,0.133697227119492
0.12869116822488438,0.15365374732211964
0.10514643671227239,0.12373797098979619
0.12547067516610916,0.1231644375104326
0.037299778622683674,0.11275696788723123
0.12711356568311277,0.13443368237425446
0.08530967338265202,0.12495343723679543
0.13926965884374526,0.1314306555191811
0.05992827480523449,0.14085896998835723
0.06454086746942043,0.13349900186383262
0.13214465657644453,0.13313149974316046
0.11734515212979915,0.12763635969316925
0.13453481106519258,0.13680657529009013
0.06934665102085602,0.13410976356876833
0.10714341979097065,0.12183070097334509
0.11314004753196313,0.13080306110059053
0.06732676252997026,0.1294412850172179
0.08868694188179493,0.11582209649650413
0.13184449751272664,0.14257068426871777
0.11265896043310152,0.12935929549835984
0.09628056745316334,0.16463918654697884
0.12578052566075737,0.13213085139339636
0.046723076911131506,0.10750555847575949
0.11673694491357642,0.13890938600882838
0.09032640613861549,0.11058360677240885
0.1042461376965127,0.13929538513511905
0.0696007134455725,0.10677618043599114
0.11839050456271547,0.1324409136478094
0.12422921599459522,0.11720063898203734
0.12495075058269897,0.1318514281056495
0.13200030183871703,0.13558863981606714
0.1291495837267962,0.14634883197618329
0.12822154218910253,0.16373253940392385
0.03669541799838931,0.12166668445237293
0.0759393059413288,0.14123230828028166
0.06359878936188784,0.1375389478505432
0.06669663563408831,0.10778897332966346
0.102660383736071,0.14272515725336196
0.09553524088389416,0.10856483618888123
0.0565226798580723,0.10695030236302315
0.1124481006593902,0.12937829635687498
0.0981321163662125,0.12928200468941603
0.10968533653272007,0.14047783450836732
0.12771231560302826,0.1461927836988489
0.13541046968133086,0.13112604170735467
0.026634393211886605,0.11973974370633207
0.05704299577776374,0.11165622841855391
0.11586774210715037,0.14475652200946673
0.12526768805148192,0.13392595897835094
0.1256220925489121,0.143260433813777
0.11634677820766023,0.11842438481718952
0.10467330827226468,0.15737597857330848
0.08460070764060974,0.14034997496248117
0.06374308438008108,0.1177947568471773
0.08546884973479633,0.1279158193111173
0.14698576250174045,0.13834486954521652
0.10073350135875464,0.11608627745025493
0.1242759462608781,0.16211241928765238
0.08329560289738157,0.11471086305417905
0.05004057604827386,0.11871070309083459
0.0722243292815254,0.14124862256096743
0.13559761325806585,0.12709104468757923
0.08050648970384443,0.15499381573879614
0.08208754837488966,0.12027456325698316
0.13258523108577683,0.14136483444842132
0.11171780434583935,0.1964421936198898
0.09311134382226005,0.1230446161211465
0.1277943488575685,0.12824605263768488
0.11476353968286014,0.13958349628570865
0.09225331458521761,0.12271750202251394
0.09921073017243989,0.1423535206376822
0.12063753887807013,0.17462928054505564
0.0807145889203591,0.1472961300646508
0.11799775503961284,0.14590127602787267
0.07434243944088459,0.1326386456700049
0.14099628273534442,0.13361371315699302
0.0821460422741883,0.1200290244312054
0.12430390922031412,0.12993754240564803
0.10968983441856767,0.14119611050582728
0.10734080678384436,0.1315182847995757
0.10902640197032165,0.14354477637184196
0.06314048112404988,0.10923978421070812
0.11185712772830335,0.14824759343010507
0.11197647785689283,0.1675807745168901
0.08809703189011045,0.17607453148211444
0.11571068818665639,0.12555258330139796
0.1532738985347088,0.12980910935776876
0.03307617166530201,0.11497703302613888
0.13496372129861578,0.1394669034583925
0.11900384620570359,0.14511590414468883
0.0910041881754846,0.11203246371807682
0.10572796056388428,0.11719006228571287
0.12080409349014047,0.16033420196144788
0.04090452126917783,0.11973607206618837
0.05437129941073318,0.12493556861582004
0.08747314875557602,0.11507572318982363
0.11593575403099596,0.13524315599848957
0.11877911647713683,0.15146384662355272
0.00806816698840316,0.11510075888183675
0.10241320256368643,0.1134549483130257
0.09008231598131056,0.1295675068093983
0.13106959675842259,0.1329636649083504
0.10033719156272455,0.15289341648078678
0.135147296973158,0.13793976040906147
0.1604956277604902,0.13134739490150962
0.11026496237326189,0.18147779159194513
0.03388968992893404,0.12216985500421931
0.12694640378202202,0.14260370982903725
0.07584002294656995,0.13184857941246247
0.05237136361807815,0.11950386956336591
0.09164924558739222,0.1207702408783611
0.12065711797211348,0.14429930856125028
0.0061488748388374495,0.12199733137782948
0.12490279319369058,0.16836326297654475
0.11065163481096957,0.147699648345414
0.10579822711880084,0.1345057922880959
