target_ret,ret,vol,w_AAPL,w_MSFT,w_GOOGL,w_AMZN,w_JPM,w_XOM
0.15976701519602995,0.15976701519602987,0.25663487294460535,0.050628798016537274,6.051406683496928e-18,0.14323849175687203,0.7750040109173407,0.031128699309250094,0.0
0.16153357981799468,0.16153357981799465,0.25187173874270874,0.04619779581191066,1.0273492062326391e-17,0.14745330904490647,0.750938160232477,0.05541073491070604,0.0
0.1633001444399594,0.16330014443995952,0.24726958160404103,0.04176677229713473,0.0,0.15166809378400256,0.7268723437816595,0.07969279013720322,1.6108040115384848e-17
0.16506670906192414,0.1650667090619243,0.242837554013749,0.037335743558095574,2.9710242239793244e-18,0.15588291035876625,0.7028065156899745,0.1039748303931636,3.626142064797672e-17
0.16683327368388887,0.16683327368371603,0.23858513729002576,0.032904888187395544,0.0,0.1600977347058064,0.6787405384175432,0.12825683868925492,0.0
0.1685998383058536,0.16859983830585357,0.23452210189022457,0.02847371910781575,7.547684008127631e-18,0.1643125642504679,0.6546748213945703,0.15253889524714592,0.0
0.17036640292781832,0.17036640292781835,0.23065845585604275,0.024042698472107098,1.2321474717784125e-17,0.16852735889520118,0.6306089975471248,0.17682094508556692,1.923611221993959e-17
0.17213296754978305,0.1721329675500074,0.22700438031887604,0.019611816727373204,1.9213281071764542e-17,0.17274217339697556,0.6065430473225851,0.2011029625530661,5.648082862762769e-19
0.17389953217174778,0.17389953217185422,0.22357015130316196,0.015180807522016544,0.0,0.17695698808880775,0.5824772038119482,0.2253850005772275,0.0
0.17566609679371253,0.17566609679374173,0.22036604744563362,0.010749650567142756,0.0,0.18117181119414294,0.5584114798728357,0.2496670583658787,0.0
0.17743266141567726,0.17743266141567793,0.2173278004505141,0.009369153244466051,4.5558792033705616e-18,0.17947909389259653,0.5455408202575814,0.2525634888047752,0.01304744380058089
0.179199226037642,0.1791992260376421,0.21437536199341967,0.008105375872651616,0.0,0.17756236552806023,0.5330987216361541,0.2546379394552952,0.02659559750783879
0.18096579065960672,0.18096579065961338,0.21151221399315842,0.0068414777853918,1.268730947022814e-17,0.17564493795599756,0.5206559661009212,0.2567152104119101,0.04014240774577909
0.18273235528157145,0.18273235528157647,0.2087420306590581,0.005577592238637349,0.0,0.17372750625426564,0.5082131941582266,0.25879249902133095,0.053689208327539595
0.18449891990353617,0.18449891990353623,0.20606856120219808,0.004313666752500846,2.279577419298136e-19,0.17181005966502177,0.4957704920782754,0.2608697376064807,0.06723604389772131
0.1862654845255009,0.18626548452550099,0.20349561745923092,0.0030497446798772062,2.058713578301577e-18,0.16989258720975195,0.48332778267584703,0.2629470271217326,0.08078285831279104
0.18803204914746563,0.18803204914745525,0.20102705935068704,0.0017858450081887774,4.887697743012533e-18,0.16797516524171174,0.470885039683226,0.26502426452798117,0.0943296855388924
0.18979861376943036,0.18979861376945167,0.19866677808374253,0.0005227102610352682,1.6703489719854803e-18,0.16605731142305416,0.4584419686713616,0.26710138109554626,0.1078766285490027
0.19156517839139509,0.19156517839137213,0.19641878328427348,1.6263032587282567e-19,0.0,0.16394820867340812,0.4455316320358521,0.26902766678131634,0.12149249250942343
0.1933317430133598,0.19333174301337774,0.19428743539492319,4.278786933055098e-18,6.4315211685019025e-18,0.16170352361691898,0.43229182854700093,0.27084749279998943,0.13515715503609066
0.19509830763532454,0.1950983076353013,0.1922766671872381,6.669960943153988e-18,4.490121653395046e-18,0.15945882356877464,0.4190520447076543,0.2726672995080618,0.14882183221550926
0.19686487225728927,0.19686487225733038,0.19039029913228073,1.3671111768684407e-18,4.687056813631671e-18,0.1572141723574603,0.40581223025725727,0.2744870952975357,0.16248650208774668
0.198631436879254,0.19863143687923598,0.1886320633656206,0.0,0.0,0.1549694675302675,0.392572458785582,0.27630688235741807,0.17615119132673257
0.20039800150121873,0.20039800150125986,0.1870055740404998,0.0,3.500363654528396e-18,0.15272482031220502,0.37933262836102105,0.2781267070318994,0.18981584429487453
0.20216456612318345,0.20216456612314215,0.18551429643481449,1.0065927786933292e-18,1.3743109569201023e-18,0.15048011078687815,0.36609286098398003,0.27994649260072846,0.20348053562841342
