target_ret,ret,vol,w_SPY,w_IWM,w_TLT,w_GLD,w_EEM,w_DBC
-0.0710679854300986,-0.0710679854300986,0.15649283754021803,5.652734847351376e-18,1.3263154530067637e-18,0.0,1.5242286541513302e-19,0.004005848886615983,0.995994151113384
-0.06662878646459429,-0.06662878646498599,0.15276342262943143,0.0,3.0357660829594124e-18,0.0,6.938893903907228e-18,0.02508499168824987,0.9749150083117502
-0.06218958749908997,-0.062189587499083314,0.149135862281682,0.0,1.2610626518722023e-17,0.0,0.008445512087480544,0.03951869913538643,0.9520357887771331
-0.05775038853358565,-0.057750388533574594,0.14559994314047928,0.0,0.0,6.993104012531504e-18,0.01779717078856646,0.05323939608662459,0.928963433124809
-0.053311189568081334,-0.05331118956794217,0.1421623574903661,0.0,4.472333961502706e-19,2.4191260973582818e-18,0.02714881960141444,0.06696010081910878,0.9058910795794768
-0.04887199060257702,-0.048871990602565626,0.1388304100429966,8.612631007681726e-18,4.621411760219463e-18,2.7376104855258987e-18,0.03650046012357996,0.08068081207398403,0.882818727802436
-0.0444327916370727,-0.04443279163706117,0.1356118875279425,2.6020852139652106e-18,4.404571325722362e-18,0.0,0.04585212685067718,0.09440150270985502,0.8597463704394678
-0.039993592671568386,-0.03999359267155607,0.13251505478925996,1.2271813339820303e-17,0.0,3.882799030213713e-18,0.05520375542773799,0.10812222336446545,0.8366740212077967
-0.03555439370606407,-0.03555439370605607,0.12954863902579306,0.0,3.3440860757599777e-18,2.8324781756183803e-18,0.06455542519965494,0.12184291160446852,0.8136016631958766
-0.03111519474055975,-0.03111519474082368,0.12672179931581012,0.0,8.046812998915853e-19,3.198396408832238e-18,0.0739070640735711,0.13556362415560072,0.7905293117708281
-0.026675995775055437,-0.026675995775209967,0.1240440784193279,0.0,0.0,0.0,0.0832587148510391,0.14928432734211522,0.7674569578068456
-0.022236796809551124,-0.022236796808855257,0.12152533390446885,1.1248597539537109e-18,0.0,0.0,0.09261037422306626,0.16300502376943377,0.7443846020075
-0.017797597844046803,-0.017797597843877168,0.11917564596509204,6.4374503991326826e-18,0.0,1.3662641439211864e-17,0.10196201954307423,0.17672573124718682,0.7213122492097389
-0.01335839887854249,-0.013358398878542357,0.11700488084718103,1.4353079170342526e-17,0.0017633007914044623,0.0,0.10992010396224196,0.1897777864625676,0.698538808783786
-0.008919199913038175,-0.008919199913038744,0.11498511709035468,0.0,0.019331735779604644,0.0,0.10538698514699937,0.19683660559998453,0.6784446734734115
-0.004480000947533855,-0.004480000947535721,0.11309792035138615,9.005654295207721e-18,0.03690188354684053,0.0,0.10085061503145933,0.20389626844176606,0.6583512329799343
-4.080198202953411e-05,-4.0801982093621736e-05,0.11135003119772495,0.0,0.054468981867614875,8.199278929421627e-19,0.09632091049175202,0.21095373912135224,0.6382563685192809
0.004398396983474773,0.004398396983476376,0.10974810582925809,0.0,0.0720398224930651,0.0,0.09178587804302983,0.21801165580661605,0.618162643657289
0.008837595948979093,0.008837595948979482,0.1082986216126316,0.0,0.0896063377047403,3.0052728968582576e-18,0.08725456140985742,0.22507097871199727,0.5980681221734049
0.013276794914483414,0.013276794914446693,0.10700777344886873,3.840447382850998e-18,0.10717584992970514,1.4033641870109248e-17,0.08272068806926353,0.23212931316438923,0.5779741488366421
0.01771599387998772,0.017715993879968757,0.1058813635096631,0.0,0.12474287703014796,6.281596336837891e-18,0.0781889272934988,0.2391884731108095,0.5578797225655439
0.02215519284549204,0.022155192845534036,0.10492468786662923,0.0,0.14231167619133134,6.2680438096818225e-19,0.07365554264033909,0.2462471368626674,0.5377856443056622
0.026594391810996362,0.026594391811075396,0.10413138727679372,2.6385076306971456e-19,0.15671810687203516,0.0067638950412898515,0.06753473276294539,0.24910896884688555,0.5198742964768441
0.03103359077650067,0.0310335907764887,0.10343940097441334,0.0,0.16801219707477227,0.020201597823552554,0.05984447444526631,0.24782443978470975,0.5041172908716992
0.03547278974200499,0.03547278974201916,0.10283987551483725,6.379216884008949e-19,0.1793007653643563,0.03364259213495517,0.05215515325848901,0.2465405104448034,0.48836097879739615
0.03991198870750931,0.03991198870752348,0.10233443595525585,0.0,0.19058930564744828,0.04708359937198241,0.044465846686831866,0.24525658118453944,0.4726046671091981
0.04435118767301363,0.04435118767300791,0.10192448201031144,0.0,0.20187785058682056,0.06052460721736689,0.036776535030975686,0.24397265048891636,0.45684835667592066
0.04879038663851794,0.048790386638497996,0.10161116940709183,0.0,0.21316639709178667,0.0739656123664649,0.029087225950660562,0.24268871963232239,0.44109204495876553
0.053229585604022245,0.05322958560401024,0.10139539401717217,1.3853223852344082e-18,0.2244549363799152,0.0874066194567552,0.021397919443064534,0.24140479150454092,0.4253357332157242
0.057668784569526566,0.05766878456952651,0.10127777926048419,0.0,0.23574347869203016,0.1008476247289018,0.013708615247979,0.2401208608447588,0.40957942048633034
0.062107983535030886,0.06210798353504504,0.10125866718651372,0.0,0.24703202373630395,0.11428863231766537,0.0060193052149450236,0.2388369290940751,0.3938231096370106
0.0665471825005352,0.06654718250055999,0.10133840655049126,5.005964718272915e-19,0.2572259323349532,0.12756300448206181,0.0,0.2375469035835208,0.3776641595994642
0.07098638146603953,0.07098638146605306,0.10152508413483265,0.0,0.26347519759305466,0.1402404767460328,4.446922973085077e-20,0.23622935858090643,0.36005496708000617
0.07542558043154385,0.07542558043154449,0.10182190709252531,7.805276260050369e-19,0.2697266248751158,0.15291545862561262,0.0,0.23491281995089303,0.3424450965483786
0.07986477939704817,0.0798647793970534,0.10222791599154447,1.1305772263476774e-18,0.2759780567093441,0.1655904338560518,0.0,0.23359628522948506,0.32483522420511907
0.08430397836255246,0.0843039783625531,0.10274181641683523,0.0,0.28222948285000143,0.17826541387747485,2.2246526266246147e-19,0.23227975010790897,0.3072253531646148
0.08874317732805678,0.0887431773280611,0.10336199911925298,0.0,0.2884809180398805,0.19094039128674983,0.0,0.23096320925319702,0.28961548142017257
0.0931823762935611,0.09318237629356177,0.10408656431964301,4.58549226929996e-19,0.29473235878577797,0.2036153608604142,6.924494343803905e-20,0.22964667281263862,0.2720056075411692
0.09762157525906542,0.09762157525906973,0.10491334934338596,0.0,0.30098378382643776,0.21629034158662244,1.0693790959085542e-19,0.2283301378949578,0.254395736691982
0.10206077422456974,0.1020607742245699,0.1058399587002393,0.0,0.3072352284231108,0.2289653131765942,7.851995421047364e-19,0.2270135950323705,0.23678586336792457
0.10649997319007407,0.1064999731900793,0.10686379570991743,1.641549851778834e-18,0.31348664801592424,0.2416402931065013,0.0,0.2256970665822144,0.21917599229536
0.11093917215557836,0.11093917215557805,0.10798209480295426,0.0,0.31973807998625287,0.25431527117433916,2.6575658720103673e-19,0.22438052811198747,0.20156612072742053
0.11537837112108268,0.11537837112108333,0.10919195369247202,3.8222361744850303e-19,0.32598951384814134,0.2669902483290291,6.810938989312626e-19,0.22306398891080884,0.18395624891202067
0.119817570086587,0.11981757008658671,0.11049036470645197,1.2218450264143282e-19,0.3322409496741985,0.2796652221455135,1.3208420021246746e-20,0.2217474519934917,0.16634637618679649
0.12425676905209132,0.12425676905209654,0.111874244683002,0.0,0.33849236857122394,0.29234020783513304,0.0,0.22043091690670924,0.1487365066869339
0.12869596801759564,0.12869596801760086,0.11334046295326501,0.0,0.34474380666222626,0.3050151754073889,8.171485660839846e-19,0.2191143856720641,0.13112663225832083
0.13313516698309996,0.13313516698310426,0.11488586706018185,8.498916834512836e-19,0.3509952430126795,0.3176901617919787,0.0,0.2177978322283045,0.11351676296703747
0.13757436594860425,0.13757436594864234,0.11650730597916722,0.0,0.3572466793472457,0.3303651254309119,1.0248569266185e-18,0.21648130775997268,0.09590688746186983
0.14201356491410858,0.14201356491411285,0.11820165071399001,0.0,0.3634981062763729,0.3430401110944554,2.0604076441960856e-19,0.21516476466549767,0.07829701796367398
0.1464527638796129,0.14645276387960804,0.11996581223475351,2.207791377018334e-18,0.36974952018552343,0.3557150993636992,0.0,0.21384823128753214,0.06068714916324526
0.15089196284511722,0.15089196284514614,0.12179675680173767,0.0,0.3760009719414375,0.3683900565359672,1.45117919688343e-18,0.2125316996145754,0.043077271908020014
0.15533116181062154,0.15533116181066886,0.12369151878095358,7.422920293703858e-19,0.38225240293664764,0.38106503579706513,0.0,0.21121516060138792,0.025467400664899355
0.15977036077612586,0.1597703607761311,0.12564721110271776,7.750351467376848e-20,0.3885038338953677,0.39374001629093425,0.0,0.2098986200549006,0.00785752975879745
0.16420955974163018,0.16420955974163015,0.12791894772221074,0.0,0.3721269994333991,0.44220279292183357,8.719548178788337e-19,0.18567020764476733,4.274283997676081e-19
0.16864875870713447,0.16864875870713442,0.1317150289816304,3.2507623136360133e-19,0.33751842364013424,0.5195000482152791,1.4098901320838894e-18,0.14298152814458667,1.2824164566697755e-19
0.1730879576726388,0.17308795767263874,0.13706490451536588,5.092521919429326e-18,0.3029098392935632,0.5967973035422629,1.1520969784142867e-18,0.10029285716417388,0.0
0.17752715663814314,0.17752715663814309,0.1437952529010662,3.224238259030788e-17,0.26830127663448156,0.6740945587842102,0.0,0.057604164581308265,9.748330273707238e-18
0.1819663556036474,0.1819663556036474,0.15172247355239546,0.0,0.2336926905230919,0.7513918141181136,2.089626061467636e-18,0.014915495358794401,7.327031342516428e-18
0.1864055545691517,0.1864055545691517,0.16080323350297857,1.624590174142008e-17,0.1712016030759596,0.8287983969240404,4.841840271569271e-18,0.0,0.0
