pool,combo,ret,vol,sharpe,max_dd,w_SPY,w_IWM,w_TLT,w_GLD,w_EEM,w_DBC
assetclass,GMV_数值(禁做空),0.060749,0.101254,0.235241,-0.197865,0.0,0.243574,0.110177,0.008373,0.239229,0.398647
assetclass,GMV_解析(允许做空对照),0.066051,0.099564,0.292483,-0.199988,-0.156463,0.3883,0.104606,0.0334,0.235352,0.394805
assetclass,切线_数值(禁做空),0.168192,0.13125,1.000091,-0.170476,0.0,0.341083,0.511539,0.0,0.147378,0.0
assetclass,切线_解析(允许做空对照),0.766186,0.498241,1.463661,-0.555043,-0.988265,2.866429,2.109528,-0.99747,0.020391,-2.010613
